Date,Product,Quantity,Price
2023-01-09,Airpods,7,1399.93
2022-04-25,Macbook,7,10499.93
2020-09-29,iphone 12,9,7199.91
2022-06-16,iphone 14,5,5999.95
2022-07-02,iphone 12,10,7999.9
2021-06-22,Airpods,3,599.97
2021-05-05,Macbook,8,11999.92
2022-07-16,iphone 14,5,5999.95
2021-12-24,Airpods,5,999.95
2020-11-03,iphone 14,2,2399.98
2020-11-02,Macbook,3,4499.97
2022-11-15,Airpods,6,1199.94
2022-02-28,iphone 12,6,4799.94
2020-12-05,iphone 14,8,9599.92
2020-10-04,iphone 13,10,9999.9
2021-05-04,Macbook,8,11999.92
2020-08-21,iphone 13,2,1999.98
2021-08-15,iphone 12,3,2399.97
2021-01-26,Airpods,1,199.99
2020-12-03,iphone 13,2,1999.98
2023-05-25,iphone 13,3,2999.97
2022-05-25,iphone 14,8,9599.92
2022-10-20,iphone 14,3,3599.97
2023-02-15,Airpods,1,199.99
2022-03-30,Macbook,7,10499.93
2022-07-05,iphone 14,4,4799.96
2021-04-16,iphone 12,1,799.99
2020-07-31,iphone 14,7,8399.93
2023-04-04,iphone 14,1,1199.99
2022-01-13,Macbook,5,7499.95
2021-06-28,Macbook,9,13499.91
2023-01-06,iphone 14,7,8399.93
2022-07-15,iphone 14,7,8399.93
2021-08-18,iphone 13,9,8999.91
2020-07-13,iphone 12,8,6399.92
2020-10-11,iphone 14,1,1199.99
2023-05-30,iphone 12,3,2399.97
2022-08-09,iphone 12,7,5599.93
2022-12-03,iphone 14,2,2399.98
2020-08-05,iphone 12,8,6399.92
2021-09-03,Macbook,3,4499.97
2020-10-31,iphone 12,1,799.99
2021-07-07,iphone 14,3,3599.97
2022-12-12,iphone 12,4,3199.96
2022-07-10,iphone 14,7,8399.93
2022-02-11,iphone 12,5,3999.95
2022-04-20,Airpods,10,1999.9
2021-02-24,Airpods,3,599.97
2022-09-28,iphone 12,8,6399.92
2022-02-23,iphone 13,5,4999.95
2021-08-25,Macbook,7,10499.93
2022-01-14,Macbook,2,2999.98
2020-08-08,iphone 14,4,4799.96
2021-04-20,iphone 13,2,1999.98
2020-10-02,Airpods,6,1199.94
2021-09-05,iphone 12,7,5599.93
2021-04-05,Macbook,10,14999.9
2022-06-21,iphone 14,3,3599.97
2021-12-04,Airpods,8,1599.92
2023-02-18,iphone 12,7,5599.93
2022-06-03,iphone 14,7,8399.93
2023-01-01,iphone 12,5,3999.95
2023-03-27,iphone 14,7,8399.93
2023-01-02,iphone 12,6,4799.94
2021-10-16,Macbook,1,1499.99
2020-08-31,iphone 13,1,999.99
2022-07-27,iphone 14,5,5999.95
2022-05-23,iphone 14,7,8399.93
2021-04-15,Macbook,8,11999.92
2022-07-20,iphone 13,5,4999.95
2020-10-02,iphone 12,4,3199.96
2022-04-23,iphone 12,6,4799.94
2022-11-02,Airpods,9,1799.91
2023-05-20,Macbook,8,11999.92
2023-04-12,Airpods,1,199.99
2021-09-19,iphone 12,8,6399.92
2023-05-18,iphone 12,6,4799.94
2022-06-20,iphone 14,9,10799.91
2022-02-20,iphone 12,4,3199.96
2022-01-15,Macbook,1,1499.99
2022-07-03,iphone 14,7,8399.93
2020-12-24,iphone 12,3,2399.97
2021-06-25,Airpods,1,199.99
2020-10-24,Macbook,3,4499.97
2023-03-17,iphone 14,8,9599.92
2021-11-08,iphone 12,3,2399.97
2023-04-01,iphone 13,9,8999.91
2023-07-10,Macbook,9,13499.91
2023-04-24,Macbook,7,10499.93
2021-06-24,iphone 14,7,8399.93
2022-08-23,iphone 13,5,4999.95
2021-02-23,iphone 12,10,7999.9
2022-04-23,iphone 12,5,3999.95
2022-09-28,Macbook,3,4499.97
2020-11-29,Airpods,5,999.95
2020-11-10,iphone 14,2,2399.98
2021-02-10,iphone 13,7,6999.93
2022-11-08,iphone 13,1,999.99
2022-07-04,iphone 12,5,3999.95
2022-01-16,iphone 14,2,2399.98
2020-08-01,iphone 13,8,7999.92
2021-09-01,iphone 12,4,3199.96
2021-09-03,Airpods,10,1999.9
2021-10-10,iphone 14,5,5999.95
2022-11-28,iphone 12,7,5599.93
2022-08-02,iphone 13,2,1999.98
2020-07-27,Airpods,2,399.98
2022-11-22,iphone 12,4,3199.96
2020-11-22,iphone 13,7,6999.93
2021-02-24,iphone 12,10,7999.9
2023-06-25,Macbook,9,13499.91
2020-12-11,Macbook,8,11999.92
2023-03-07,iphone 14,3,3599.97
2020-11-07,iphone 13,3,2999.97
2022-10-16,Airpods,5,999.95
2021-01-26,Macbook,10,14999.9
2022-08-02,iphone 13,4,3999.96
2022-03-14,iphone 12,4,3199.96
2022-07-21,iphone 12,6,4799.94
2020-11-07,iphone 14,1,1199.99
2021-11-13,Macbook,10,14999.9
2021-04-12,iphone 14,1,1199.99
2022-03-30,Macbook,10,14999.9
2022-10-02,Macbook,6,8999.94
2021-09-08,iphone 12,3,2399.97
2023-02-21,iphone 13,3,2999.97
2022-11-14,iphone 14,5,5999.95
2022-06-07,iphone 14,1,1199.99
2022-10-06,iphone 12,4,3199.96
2021-07-03,iphone 12,1,799.99
2021-09-09,Airpods,4,799.96
2020-08-03,Macbook,2,2999.98
2021-06-12,Airpods,9,1799.91
2021-02-28,iphone 14,3,3599.97
2023-05-26,iphone 12,7,5599.93
2020-12-05,iphone 12,9,7199.91
2022-03-23,Macbook,8,11999.92
2021-09-19,iphone 13,1,999.99
2022-11-27,iphone 14,4,4799.96
2023-04-10,Macbook,5,7499.95
2023-02-15,iphone 12,4,3199.96
2023-04-23,iphone 13,10,9999.9
2022-12-04,Airpods,5,999.95
2021-06-27,iphone 13,10,9999.9
2023-05-02,iphone 13,6,5999.94
2022-09-11,iphone 12,10,7999.9
2022-01-03,iphone 13,4,3999.96
2020-11-14,iphone 14,5,5999.95
2022-01-21,Airpods,1,199.99
2023-04-28,iphone 12,1,799.99
2022-06-03,iphone 13,7,6999.93
2023-04-30,Airpods,9,1799.91
2022-06-22,Macbook,4,5999.96
2022-09-04,Airpods,9,1799.91
2022-09-28,iphone 12,9,7199.91
2021-10-30,iphone 12,10,7999.9
2021-03-07,iphone 13,3,2999.97
2022-04-27,Macbook,3,4499.97
2022-06-02,iphone 12,7,5599.93
2020-07-27,Macbook,4,5999.96
2020-11-22,iphone 12,2,1599.98
2021-12-12,Airpods,3,599.97
2021-08-04,iphone 13,8,7999.92
2023-01-10,iphone 12,5,3999.95
2021-04-28,iphone 14,5,5999.95
2023-05-04,Macbook,6,8999.94
2021-12-15,Airpods,6,1199.94
2022-09-21,iphone 12,3,2399.97
2023-05-16,Airpods,7,1399.93
2021-05-29,iphone 13,5,4999.95
2021-08-10,Macbook,7,10499.93
2023-05-10,iphone 13,5,4999.95
2023-02-23,iphone 13,2,1999.98
2022-04-01,Airpods,7,1399.93
2020-10-05,iphone 14,3,3599.97
2023-06-26,Macbook,6,8999.94
2022-09-22,iphone 13,9,8999.91
2020-10-04,iphone 12,6,4799.94
2021-09-22,iphone 14,7,8399.93
2022-09-27,Macbook,7,10499.93
2021-03-22,Airpods,1,199.99
2020-08-18,iphone 12,5,3999.95
